KDCPUM,KDPKAB,WADMKC,WADMKK,WADMPR,aet,drought_class,month,pdsi,pet,pr,ro,soil,tmmn,tmmx,vap,vpd,year
11.05.09,11.05,Meureubo,Aceh Barat,Aceh,860.1808641975308,Wet,11,349.3506172839506,860.1808641975308,362.88456790123456,276.59814814814814,1266.1518518518517,244.60740740740735,310.27283950617283,3171.1691358024686,63.27037037037037,2023
11.05.10,11.05,Woyla Barat,Aceh Barat,Aceh,839.8077354260088,Wet,11,104.12051569506724,839.8077354260088,332.8195067264574,248.7477578475336,1567.691143497758,247.0056053811659,308.4529147982063,3159.54932735426,64.2701793721973,2023
11.05.11,11.05,Woyla Timur,Aceh Barat,Aceh,843.0102171136655,Wet,11,126.58939974457216,843.0102171136655,308.1819923371648,223.92720306513408,1777.3620689655174,246.0332056194125,308.3077905491699,3136.148148148148,65.62388250319286,2023
11.05.12,11.05,Panton Reu,Aceh Barat,Aceh,845.1347424042273,Wet,11,165.6994715984148,845.1347424042273,301.271466314399,216.7291941875825,1777.270145310436,245.08718626155877,309.01585204755617,3135.8989431968294,65.39233817701452,2023
11.06.01,11.06,Lhoong,Aceh Besar,Aceh,835.875,Extreme Drought,11,-80.62209302325583,835.875,290.8943798449613,207.3420542635659,1954.051841085272,237.20784883720933,282.9452519379845,2848.082848837209,56.89486434108528,2023
11.06.02,11.06,Lhoknga,Aceh Besar,Aceh,852.080156402737,Extreme Drought,11,-131.79276637341152,852.080156402737,271.0977517106549,185.65493646138813,2076.034213098729,245.5777126099707,287.4711632453569,2917.5620723362663,62.219941348973606,2023
11.06.03,11.06,Indrapuri,Aceh Besar,Aceh,830.6652960526317,Extreme Drought,11,-149.8371710526316,830.6652960526317,270.1274671052632,186.8515625,2094.425986842105,246.57648026315792,290.3754111842105,2935.1953125,64.42269736842105,2023
11.06.04,11.06,Seulimeum,Aceh Besar,Aceh,836.5103589743591,Extreme Drought,11,-152.17066666666665,836.5103589743591,292.2695384615384,203.2301538461538,2163.879794871794,244.20512820512812,289.9874871794871,2902.062564102564,65.29292307692306,2023
11.06.05,11.06,Montasik,Aceh Besar,Aceh,835.2617801047122,Extreme Drought,11,-190.1047120418848,835.2617801047122,260.6151832460733,176.88612565445027,2138.92277486911,252.34554973821997,294.44109947643983,3013.431937172775,66.76832460732984,2023
11.06.06,11.06,Sukamakmur,Aceh Besar,Aceh,822.6774193548387,Extreme Drought,11,-128.15370018975335,822.6774193548387,274.6812144212524,192.10056925996207,2078.6850094876663,241.23339658444027,284.73055028463,2871.3301707779883,59.82352941176471,2023
11.06.07,11.06,Darul Imarah,Aceh Besar,Aceh,837.2491228070176,Extreme Drought,11,-170.83508771929826,837.2491228070176,253.17192982456143,169.52631578947367,2110.929824561403,254.81754385964908,294.5508771929825,3047.7789473684206,65.55438596491229,2023
11.06.08,11.06,Peukan Bada,Aceh Besar,Aceh,861.2517482517483,Extreme Drought,11,-171.7086247086247,861.2517482517483,247.93939393939397,161.65268065268063,2100.748251748252,254.3962703962704,293.4125874125874,3032.4172494172494,65.63403263403262,2023
11.06.09,11.06,Mesjid Raya,Aceh Besar,Aceh,856.8805280528054,Extreme Drought,11,-175.72541254125414,856.8805280528054,275.59603960396043,183.26006600660068,2177.217161716172,252.2897689768977,293.8481848184819,2997.885148514852,67.4825082508251,2023
11.06.10,11.06,Ingin Jaya,Aceh Besar,Aceh,837.0070175438597,Extreme Drought,11,-179.42105263157893,837.0070175438597,246.3298245614035,162.57192982456138,2124.743859649123,256.1543859649123,295.680701754386,3076.6561403508767,65.41754385964913,2023
11.06.11,11.06,Kuta Baro,Aceh Besar,Aceh,837.7677329624478,Extreme Drought,11,-188.96801112656465,837.7677329624478,259.0792767732962,174.53546592489568,2151.8803894297635,253.1168289290681,293.38942976356043,3012.553546592489,66.17524339360222,2023
11.06.12,11.06,Darussalam,Aceh Besar,Aceh,847.4461206896551,Extreme Drought,11,-184.97413793103448,847.4461206896551,259.28879310344826,171.89008620689654,2158.6982758620693,252.90517241379317,293.1831896551724,3007.409482758621,66.34051724137932,2023
11.06.13,11.06,Pulo Aceh,Aceh Besar,Aceh,863.1406698564593,Extreme Drought,11,-178.80095693779907,863.1406698564593,219.69665071770336,133.29569377990433,2110.9559808612444,253.93014354066983,291.0267942583732,2970.496650717704,68.44114832535885,2023
11.06.14,11.06,Lembah Seulawah,Aceh Besar,Aceh,832.4963894089326,Extreme Drought,11,-118.42177052687884,832.4963894089326,293.8066327895159,210.42016581973795,2194.0540251404123,238.84193634661676,288.0855843808505,2849.682000534902,63.19818133190694,2023
11.06.15,11.06,Kota Jantho,Aceh Besar,Aceh,777.78331681065,Wet,11,2.780059481659824,777.78331681065,300.98300524005094,223.261011188217,2187.1294434216115,215.3185101260445,269.62668177312,2602.99334371902,49.79408015861775,2023
11.06.16,11.06,Kuta Cot Glie,Aceh Besar,Aceh,812.236321000521,Extreme Drought,11,-75.34835852006252,812.236321000521,282.3348097967691,200.8910891089108,2040.476550286607,235.30562793121413,282.2180823345492,2816.052110474205,58.19801980198018,2023
11.06.17,11.06,Kuta Malaka,Aceh Besar,Aceh,844.5806451612904,Extreme Drought,11,-150.95340501792114,844.5806451612904,251.6200716845878,167.64516129032256,2081.193548387097,252.01792114695343,293.79211469534056,3021.430107526882,64.3405017921147,2023
11.06.18,11.06,Simpang Tiga,Aceh Besar,Aceh,837.7617554858936,Extreme Drought,11,-141.58620689655174,837.7617554858936,267.8213166144201,183.53605015673983,2084.655172413793,246.4576802507837,288.614420062696,2930.5109717868345,62.708463949843264,2023
11.06.19,11.06,Darul Kamal,Aceh Besar,Aceh,839.3076923076925,Extreme Drought,11,-141.6454849498328,839.3076923076925,268.98327759197326,184.98662207357864,2091.6688963210704,246.00334448160535,288.61872909699,2926.5083612040144,62.91973244147159,2023
11.06.20,11.06,Baitussalam,Aceh Besar,Aceh,853.611570247934,Extreme Drought,11,-176.10743801652893,853.611570247934,251.95867768595045,160.08264462809916,2156.3966942148763,255.0909090909091,294.57851239669424,3043.694214876033,66.31404958677686,2023
11.06.21,11.06,Krueng Barona Jaya,Aceh Besar,Aceh,836.0384615384614,Extreme Drought,11,-180.65384615384613,836.0384615384614,247.57692307692307,163.58974358974356,2132.3846153846152,256.8205128205128,295.93589743589746,3081.4230769230767,65.93589743589743,2023
11.06.22,11.06,Leupung,Aceh Besar,Aceh,809.6559517830235,Extreme Drought,11,-76.27473631341034,809.6559517830235,303.5951783023606,222.5223505775992,2011.257659467604,226.05474635861373,273.31491712707185,2700.213460572576,51.312908086388745,2023
11.06.23,11.06,Blang Bintang,Aceh Besar,Aceh,835.9939879759519,Extreme Drought,11,-193.6753507014028,835.9939879759519,259.7414829659319,176.39078156312627,2147.046092184369,252.7254509018036,294.06212424849696,3012.074148296593,66.81763527054109,2023
11.07.03,11.07,Batee,Pidie,Aceh,865.8356890459364,Extreme Drought,11,-71.66077738515901,865.8356890459364,298.5141342756184,154.0530035335689,2255.7314487632502,252.143109540636,302.1713780918728,3093.9823321554763,67.96289752650178,2023
11.07.04,11.07,Delima,Pidie,Aceh,856.4896551724139,Extreme Drought,11,-100.28275862068966,856.4896551724139,285.2689655172413,164.24827586206897,2318.806896551724,251.66896551724145,302.29655172413794,3102.524137931034,66.55172413793103,2023
11.07.05,11.07,Geumpang,Pidie,Aceh,711.7145662469677,Wet,11,104.29167147972736,711.7145662469677,265.804435716761,194.59258403604017,2173.3143121173616,176.85826498787108,248.1350352316045,2313.4235878479844,30.60032343768049,2023
11.07.06,11.07,Glumpang Tiga,Pidie,Aceh,867.9277899343545,Extreme Drought,11,-140.08971553610502,867.9277899343545,277.95404814004377,189.6345733041576,2459.879649890591,249.24288840262585,303.074398249453,3082.8687089715536,67.1706783369803,2023
11.07.07,11.07,Indrajaya,Pidie,Aceh,855.6975088967971,Extreme Drought,11,-107.97153024911032,855.6975088967971,282.8185053380783,173.1423487544484,2360.0142348754443,251.2633451957295,302.8540925266904,3099.615658362989,67.06405693950178,2023
11.07.08,11.07,Kembang Tanjong,Pidie,Aceh,880.2274143302179,Extreme Drought,11,-83.18068535825543,880.2274143302179,284.9376947040498,164.97819314641742,2386.1090342679126,251.96261682242988,304.01869158878503,3114.5919003115264,67.6822429906542,2023
11.07.09,11.07,Kota Sigli,Pidie,Aceh,872.2608695652174,Wet,11,105.18840579710148,872.2608695652174,305.0,157.18840579710144,2309.5942028985505,252.9855072463768,303.0,3115.086956521739,67.26086956521739,2023
11.07.11,11.07,Mila,Pidie,Aceh,854.0594965675057,Extreme Drought,11,-132.675057208238,854.0594965675057,277.441647597254,183.96109839816936,2341.036613272312,250.1075514874142,300.86727688787187,3066.757437070938,66.77803203661327,2023
11.07.12,11.07,Muara Tiga,Pidie,Aceh,864.3215065502185,Extreme Drought,11,-120.67085152838432,864.3215065502185,299.85425764192144,169.25982532751092,2204.1937772925767,251.6899563318777,298.6162663755458,3043.5884279475986,67.90283842794761,2023
11.07.13,11.07,Mutiara,Pidie,Aceh,858.2192513368982,Extreme Drought,11,-125.08556149732618,858.2192513368982,277.49732620320856,183.8502673796791,2410.8663101604275,251.2780748663101,302.8770053475936,3098.6470588235293,67.31550802139037,2023
11.07.14,11.07,Padang Tiji,Pidie,Aceh,849.7491085899512,Extreme Drought,11,-117.72155591572124,849.7491085899512,288.560453808752,187.290113452188,2258.442463533225,247.4479740680713,296.7824959481361,3001.746191247974,66.0836304700162,2023
11.07.15,11.07,Peukan Baro,Pidie,Aceh,864.1415094339623,Extreme Drought,11,-93.05660377358492,864.1415094339623,287.5377358490566,167.41509433962264,2375.514150943396,251.91509433962264,303.0,3105.5188679245284,67.62264150943396,2023
11.07.16,11.07,Pidie,Pidie,Aceh,868.0029585798815,Extreme Drought,11,-74.43195266272188,868.0029585798815,295.4142011834319,156.44970414201185,2316.5118343195263,252.38165680473367,302.93786982248514,3110.7751479289936,67.38165680473372,2023
11.07.17,11.07,Sakti,Pidie,Aceh,852.0440251572328,Extreme Drought,11,-143.5702306079665,852.0440251572328,273.96645702306085,188.7463312368973,2399.985324947589,250.6394129979036,301.8909853249476,3081.0230607966464,67.30398322851154,2023
11.07.18,11.07,Simpang Tiga,Pidie,Aceh,868.7335526315788,Extreme Drought,11,-75.20065789473685,868.7335526315788,293.1842105263158,165.26315789473685,2365.319078947369,252.0,303.4243421052632,3112.2763157894733,67.30263157894737,2023
11.07.19,11.07,Tangse,Pidie,Aceh,752.7812990272981,Wet,11,87.09381863821771,752.7812990272981,322.2923334379247,246.9516786946971,2485.476519192551,202.08785691873229,263.49189415333103,2513.320154795522,41.520761426628994,2023
11.07.21,11.07,Tiro/Truseb,Pidie,Aceh,809.1161509114032,Wet,11,44.87240356083085,809.1161509114032,314.8257736328954,233.84315387876225,2535.1182704535827,225.4209410767275,283.2687579482833,2775.458668927513,54.84654514624842,2023
11.07.22,11.07,Keumala,Pidie,Aceh,845.0409836065575,Extreme Drought,11,-102.92459016393444,845.0409836065575,282.12295081967216,197.6934426229508,2365.2409836065576,245.8245901639344,297.7081967213115,3013.085245901639,64.27377049180328,2023
11.07.24,11.07,Mutiara Timur,Pidie,Aceh,862.4513064133017,Extreme Drought,11,-140.75059382422805,862.4513064133017,275.4869358669834,188.2090261282661,2450.731591448932,250.1923990498813,303.16389548693587,3088.705463182898,67.54869358669833,2023
